Scientific Name,Family,English Common Name,Name (FI),Section,ID,Check,Count,Mazemap route,Cordinates,Aromatic,Crop,Edible,Endangered,Exotic,Flowering,Fragrant,Fruit-bearing,Historical,House plant,Medicinal,Native,Pollinator,Resilient,Dangerous,Seasonal,Striking,Unique,Keep it y/n,Aromaattinen,Viljelykasvi,Syötävä,Uhanalainen,Eksoottinen,Kuukiva,Tuoksuva,Hedelmöivä,Historiallinen,Huonekasvi,Lääkekasvi,Alkuperäinen,Pölyttäjä,Ääriolosuhteet,Vaarallinen,Kausikasvi,Näyttävä,Uniikki,
Rosa rugosa 'Kirovsk',,Kirovsk rose,Kirovskin ruusu,V-9 	H- JA S-OS.REUNA,22569,V-9 	H- JA S-OS.REUNA,1,,,,,"Rosa rugosa ‘Kirovsk’ produces edible rose hips that are exceptionally rich in vitamin C. They are commonly used to make jams, marmalades, syrups, teas, and other preserves after the seeds and irritating hairs inside the fruit are removed.",,,,"Rosa rugosa ‘Kirovsk’ is known for its strongly fragrant flowers, which produce a rich, sweet rose scent throughout the flowering season. The blooms are popular in ornamental gardens and are also used for cut flowers and traditional rose products.",,"Rosa rugosa is native to eastern Asia and was introduced to Europe during the late 18th century, where it quickly became valued for its hardiness and fragrant flowers. It has since been widely planted in parks, gardens, and coastal landscapes throughout northern Europe. Cultivars such as ‘Kirovsk’ were selected to improve ornamental qualities while retaining the species' exceptional resilience, making them especially popular in regions with cold winters.",,,,"Rosa rugosa ‘Kirovsk’ is an excellent pollinator plant, producing nectar- and pollen-rich flowers that attract bees, bumblebees, butterflies, hoverflies, and other beneficial insects. Its long flowering season provides a reliable food source throughout much of the summer.","Rosa rugosa ‘Kirovsk’ is an exceptionally hardy shrub that tolerates severe frost, coastal winds, drought, poor soils, and salt spray. Its vigorous growth and suckering habit make it well suited to challenging landscapes and erosion control.",,yes,,,y,,,"Rosa rugosa 'Kirovsk' tuottaa syötäviä ruusunmarjoja, jotka ovat erityisen rikkaat vitamiini C:hen. Niitä käytetään yleisesti marjoissa, marmeladeissa, siirapissa, teessä ja muissa säilöntäaineissa, kunnes siemenet ja ärsyttävät hiukkaset marjan sisällä poistetaan.",,,,"Rosa rugosa 'Kirovsk' tunnetaan voimakkaasti tuoksuvista kukistaan, jotka tuottavat rikkaan, makean ruusun tuoksun koko kukkien kasvukaudella. Kukat ovat suosittuja koristekasvina ja käytetään myös lehtikukkien valmistukseen ja perinteisissä ruusutarvikkeissa.",,"Rosa rugosa on kotoisin itä-Aasiasta ja se tuotiin Eurooppaan myöhäisellä 1700-luvulla, missä se nopeasti arvostettiin kestävyydestään ja tuoksuvista kukistaan. Se on sittemmin kasvatettu laajasti puistoissa, puutarhoissa ja rannikkomaastossa koko Pohjois-Euroopassa. Lajikkeita kuten 'Kirovsk' valittiin parantamaan koristekasvun ominaisuuksia säilyttäen lajin erinomaisen kestävyyden, mikä tekee niistä erityisen suositun kylmien talojen alueilla.",,,,"Rosa rugosa 'Kirovsk' on erinomainen siitepölykasvi, joka tuottaa nektaria- ja siitepölyä rikasta kukkaansa, joka vetää mehiläisiä, humalapölykkäisiä hyönteisiä, perhosia, hyönteisiä ja muita hyödyllisiä hyönteisiä. Pitkä kukkien kasvukausi tarjoaa luotettavan ravinnon lähes koko kesän.","Rosa rugosa 'Kirovsk' on erinomainen kestävä pensas, joka kestää voimakkaita lumisateita, rannikkoja, kuivuutta, huonoa maaperää ja suolaista tuulta. Sen voimakas kasvu ja juurakon kasvu tekevät siitä sopivan haasteellisille maisemille ja eroosin torjunnalle.",,Kyllä,,,
Rubus fruticosus,,Black berry,Karhunvattu,Hyötykasvit,,,1,,,,,"Rubus fruticosus produces sweet, juicy berries that are eaten fresh or used in jams, desserts, juices, and baking. The fruits are rich in vitamin C, fibre, and antioxidants.",,,,,"Rubus fruticosus, native to Europe, western Asia, and North Africa, produces clusters of black berries that ripen in late summer. The fruits develop from many small drupelets and are harvested when fully black and soft.",,,,,,Rubus fruticosus is a vigorous shrub that spreads through arching canes and rooting stems. It grows well in a wide range of soils and quickly forms dense thickets once established.,,,,,y,,,"Rubus fruticosus tuottaa makeita, hedelmäisiä marjoja, jotka syödään suoraan tai käytetään marjoissa, makeisissa, juomissa ja leivonnaisissa. Marjoissa on paljon vitamiini C:ää, kuitua ja antioxiineja.",,,,,"Rubus fruticosus, joka on kotoisin Euroopasta, Länsi-Aasiasta ja Pohjois-Afrikasta, tuottaa kesällä mustia marjoja, jotka kasv",,,,,,"Rubus fruticosus on oikeutettu pensas, joka leviää kaarevien varren ja juuristuneiden oksien kautta. Se kasvaa hyvin laajalla alueella erilaisilla maaperillä ja muodostaa tiheitä pensaikkoja nopeasti, kun se on vakiintunut.",,,,,
Rubus idaeus 'Preussen',,raspberry,vadelma,H-O 	HYÃ–TYKASVI OSASTO,31883,H-O 	HYÃ–TYKASVI OSASTO,1,,,,Rubus idaeus ‘Preussen’ is a cultivated raspberry variety grown as a fruit crop in gardens and orchards. It is valued for its reliable productivity and is widely grown in temperate regions for berry production.,"Rubus idaeus ‘Preussen’ produces edible red berries that are sweet and aromatic. The fruits are eaten fresh or used in jams, desserts, and baking, making them a versatile ingredient in both home and commercial food use.",,,,,"Rubus idaeus ‘Preussen’ is a fruit-bearing shrub that produces clusters of red berries after flowering. The fruits develop on canes and are harvested in summer when ripe, typical of cultivated raspberry varieties.","Rubus idaeus has been cultivated in Europe for centuries, with many regional varieties developed through selective breeding. ‘Preussen’ is part of this horticultural tradition, reflecting the long history of raspberry cultivation in temperate agriculture and home gardening.",,,,,"Rubus idaeus ‘Preussen’ is a hardy raspberry cultivar adapted to cool and temperate climates. It tolerates cold winters well and produces fruit reliably under a range of growing conditions, making it suitable for northern gardens.",,,,,y,,"Rubus idaeus 'Preussen' on kasvatettu rypälelajike, joka kasvaa puutarhoissa ja puutarhoissa hedelmänä. Se arvostellaan luotettavasta tuottavuudestaan ja kasvatetaan laajasti matalan lämpötilan alueilla marjojen tuotannossa.","Rubus idaeus 'Preussen' tuottaa syötäviä punaisia marjoja, jotka ovat makeita ja tuoksuvia. Marjoja syödään suoraan tai käytetään hedelmä- ja leivonnaisissa, mikä tekee niistä monipuolisen aineksen koti- ja ammattikäytössä.",,,,,"Rubus idaeus 'Preussen' on marjatuottava pensas, joka tuottaa punaisia marjoja kukinnan jälkeen. Marjoja kehittyy oksilla ja niitä kerätään kesällä, kun ne ovat valmiita, mikä on tyypillistä kasvatettujen rypälelajikkeille.","Rubus idaeus on ollut kasvatettuna Euroopassa vuosisatoja, ja monia alueellisia lajikkeita on kehitetty valinnallisella jalostuksella. 'Preussen' on osa tätä kasvitieteellistä perintöä, joka kuvaa rypäleen kasvattamisen pitkää historiaa matalan lämpötilan maataloudessa ja kotipuutarhoissa.",,,,,"Rubus idaeus 'Preussen' on kestävä rypälelajike, joka on sopeutunut kylmään ja matalaan ilmastoon. Se kestää kylmän talven hyvin ja tuottaa marjoja luotettavasti erilaisissa kasvatusolosuhteissa, mikä tekee siitä sopivan pohjoisten puutarhojen käyttöön.",,,,,
Saintpaulia ionantha,,African violet,paavalinkukka,G-HA 	TROOPPINEN HUONE,5278,G-HA 	TROOPPINEN HUONE,1,,,,,,,,"Saintpaulia ionantha, commonly called the African violet, produces small clusters of soft purple, blue, pink, or white flowers above a rosette of fuzzy leaves. It can bloom almost year-round indoors when given steady light and warmth.",,,,"Saintpaulia ionantha (African violet) is a compact plant native to Tanzania. It is popular indoors because it stays small, grows well in pots, and prefers stable room conditions. It thrives in indirect light and consistent moisture, making it easy to keep on windowsills or shelves.",,,,,,,,,y,,,,,,"Saintpaulia ionantha, jota kutsutaan yleisesti afrikkalaiseksi violetiksi, tuottaa pieniä ryhmiä pehmeitä vaaleanpunaisia, sinisiä, vaaleanpunaisia tai valkoisia kukkia kääpiölehtien yläpuolella. Se voi kukkia lähes koko vuoden ajan sisällä, kun se saa tasaisen valon ja lämmön.",,,,"Saintpaulia ionantha (afrikkalainen violetti) on kompakti kasvi, joka on kotoisin Tansaniasta. Se on suosittu sisäkasvina, koska se pysyy pienenä, kasvaa hyvin pöydänkäyttöön ja suosii vakautta huoneolosuhteissa. Se kestää sivuvaloa ja vakautta kosteudessa, mikä tekee siitä helppoa pitää ikkunalaudoilla tai pöydänkäyttöön.",,,,,,,,,
Salvia rosmarinus syn.Rosmarinus officinalis,,Rosemary,Rosmariini,Lauhke huone (Julia),,,1,,X: -166.60 Y: -10.47,Salvia rosmarinus has strongly aromatic foliage that releases a distinctive scent when the leaves are crushed or brushed. The aroma comes from concentrated essential oils present throughout the plant.,"Salvia rosmarinus is cultivated as a commercial herb crop for its aromatic leaves. It is grown worldwide to supply fresh herbs, dried seasonings, and essential oils for culinary and commercial use.","The leaves of Salvia rosmarinus are edible and widely used as a culinary herb. They are used fresh or dried to season a wide variety of foods, including roasted meats, vegetables, breads, soups, and sauces, and are valued for their strong, distinctive flavor.",,,,,,,,,,,,,,,,y,"Salvia rosmarinus on voimakkaan tuoksuvan lehtensä vuoksi, joka vapauttaa erityinen tuoksu, kun lehdet rikkoutuvat tai kosketetaan. Tuoksu tulee konsentroiduista peräisin olevista oleoksiin, jotka ovat lehtien läpi.","Salvia rosmarinus kasvatetaan kaupalliseksi ruokakasviksi tuoksuvien lehtiensä vuoksi. Se kasvatetaan maailmanlaajuisesti tarjoamaan tuoreita kasviksia, kuivattuja mausteita ja oleoksia ruoanlaittoon ja ammattikäyttöön.","Salvia rosmarinus -lehden ovat syötävissä ja ne käytetään laajasti ruokakasviksi. Ne käytetään tuoreina tai kuivattuina maustamaan laajaa ruokavalioita, mukaan lukien paistettuja lihaa, kasviksia, leivonnaisia, keittoja ja saostetta, ja niitä arvostellaan voimakkaasta ja erityisestä makustaan.",,,,,,,,,,,,,,,,
Sapindus mukorossi,,Soapberry,Saippuamarja,G-HB 	KESÃ„SATEIDEN ALUE,18295,G-HB 	KESÃ„SATEIDEN ALUE,1,,,,,,,,,,,"Soap berries (Sapindus mukorossi) are the fruits of soapberry trees native to tropical and subtropical regions of Asia and the Americas. Their shells contain saponin, a natural soap-like compound that produces lather when mixed with water. People have used soap berries for thousands of years, especially in India, Nepal, and China, where they were traditionally used to wash clothes, silk, wool, and hair. Before modern detergents existed, they were an important natural cleaning product and were traded across many regions. Today, soap berries are still valued as an eco-friendly alternative to synthetic soaps and detergents.",,,,,,,,,,y,,,,,,,,,"Sämpylöpähkinät (Sapindus mukorossi) ovat sämpylöpähkinien hedelmienä, jotka ovat kotoisin trooppisista ja subtrooppisista alueista Aasiassa ja Amerikan mantereella. Niiden kuori sisältää saponiinia, luonnollista saippuamaisen aineksen, joka muodostaa saippuaa",,,,,,,,,,
schefflera,,Dwarf umbrella tree,siroliuska-arelia,G-HA 	TROOPPINEN HUONE,18588,G-HA 	TROOPPINEN HUONE,1,,,,,,,,,,,,"The Schefflera plant, otherwise known as the dwarf umbrella tree, is a popular choice for a houseplant for its ease of maintenance. The Schefflera is known for its signature way of growing leaves in a way that resembles an umbrella.	",,,,,,,,,y,,,,,,,,,,"Schefflera on yleisesti tunnettu nimellä pikkunuolentähti, ja se on suosittu huonekasvi sen helpon hoitokyvyn vuoksi. Schefflera tunnetaan lehtiensä erikoisesta kasvustaan, joka muistuttaa nuolesta.",,,,,,,,,
Scindapsus pictus ‘Argyraeus’,,Satin pothos,hopeaköynnös,Kesäsateiden alue,,,1,,x -126.18  y 11.11,,,,,,,,,,"Matte green leaves are dusted with silvery markings that catch light softly, and the refined pattern gives the plant a quieter, velvety beauty than glossier trailing vines.",,,,,,,,,y,,,,,,,,,,"Mattein vihreät lehdet ovat sahlaisin silmäimillä, jotka heijastavat valoa pehmeästi, ja kohottava muoto antaa kasville hiljaisen, pehmeän kauneuden kuin kiiltävien kantavartisten kukan.",,,,,,,,,
scorzonera hispanica,,Black salcify,Mustajuuri,H-3 	VIHANNEKSET,12171,H-3 	VIHANNEKSET,1,,,,"Scorzonera hispanica, commonly known as black salsify, is a perennial root vegetable crop cultivated in Europe and the Mediterranean. It is grown for its long taproot and is valued as a traditional and modern food crop.","Scorzonera hispanica produces an edible long, dark-skinned taproot that is cooked as a vegetable. It has a mild, slightly nutty flavour and is commonly used in soups, stews, and winter dishes in European cuisine.",,,,,,Scorzonera hispanica has been cultivated since at least the Renaissance in Europe. It was valued as a winter vegetable and remains part of traditional cuisine in several Mediterranean and Central European food cultures.,,,,,"Scorzonera hispanica is highly resilient, tolerating cold climates and poor soils. This hardiness allows it to grow reliably in temperate regions where many other root vegetables struggle to survive harsh seasonal conditions.",,,,,y,,"Scorzonera hispanica on yleisesti tunnettu nimellä musta salsify, ja se on monivuotinen juurikasvi, jota kasvatetaan Euroopassa ja Välimeren alueella. Se kasvatetaan pitkän juurakson vuoksi ja arvostetaan perinteisenä ja nykyisin käytettynä ruokakasvina.","Scorzonera hispanica tuottaa syötävän pitkän, tumman ihon peittämän juurakon, jota käytetään ruokana. Se on maultaan pehmeä, hieman pähkinäinen ja yleisesti käytetään soupeissa, paistoksissa ja talvikeitoissa Euroopan ruokakulttuurissa.",,,,,,Scorzonera hispanica on ollut Euroopassa kasvatettuna ainakin renessanssin aikana. Se arvostettiin talvikasviksi ja se on edelleen osa perinteistä ruokakulttuuria useilla Välimeren ja Keski-Euroopan ruokakulttuureilla.,,,,,"Scorzonera hispanica on hyvin kestävä, ja se kestää kylmää ilmastoa ja huonoa maaperää. Tämä kestävyys mahdollistaa sen kasvun luotettavasti lauhkeissa alueilla, joilla monet muut juurikasvit eivät selviä kovien kausien olosuhteista.",,,,,
Secale cereale,,rye,Ruis,Hyötykasvit,,,1,,,,"Secale cereale, commonly known as rye, is a cereal crop widely cultivated in cooler temperate regions. It is especially valued for its ability to grow in poor soils and harsh climates where many other grains produce lower yields.","Secale cereale produces edible grains that are milled into rye flour or used whole in foods. Rye is commonly used to make breads, crispbreads, porridges, and traditional baked goods, particularly across Northern and Eastern Europe.",,,,,,"Secale cereale was originally a wild grass that grew among wheat and barley fields in the Middle East before spreading naturally into Europe. Farmers discovered that rye survived colder climates and poorer soils, making it especially important in Northern and Eastern Europe. During the Middle Ages it became the dominant bread grain in many regions, particularly in countries such as Finland, Germany, Poland, and Russia, where rye bread remains a cultural staple today.",,,,,"Secale cereale is one of the most cold-hardy cereal crops. It tolerates poor, sandy soils, drought, and freezing winters better than most other grains, making it a dependable crop in challenging growing conditions.",,,,,y,,"Secale cereale on yleisesti tunnettu nimellä ruis, ja se on viljelykasvi, jota kasvatetaan kylmien lauhkeiden alueiden laajalla alueella. Se arvostetaan erityisesti kyvystään kasvaa huonoissa maaperässä ja kovissa olosuhteissa, joissa monet muut viljat tuottavat alhaisempia tuottoja.","Secale cereale tuottaa syötävää viljaa, jota käytetään ruisjauhoiksi tai ruokana kokonaisena. Ruis on yleisesti käytetty leivän, karkkien, kastikkeiden ja perinteisten leivonnaisien valmistukseen, erityisesti Pohjois- ja Itä-Euroopassa.",,,,,,"Secale cereale oli alun perin villiheinä, joka kasvoi vehnän ja ohraa kasvattavien pellojen keskellä Lähi-idässä ennen kuin se levisi luontaisesti Eurooppaan. Maanviljelijät löysivät, että ruis selviytyi kylmässä ilmastossa ja huonoissa maaperässä, mikä teki siitä erityisen tärkeää Pohjois- ja Itä-Euroopassa. Keski-ajalla se muodostui monien alueiden pääasialliseksi leivän viljaksi, erityisesti Suomessa, Saksassa, Puolassa ja Venäjällä, joissa ruisleipä on edelleen kulttuurillinen perinne.",,,,,"Secale cereale on yksi kylmästi kestävimmistä viljelykasveista. Se kestää huonoa, hiekkaista maaperää, kuivuutta ja kylmää talvea paremmin kuin monet muut viljat, mikä tekee siitä luotettava kasvi haastavissa kasvatusolosuhteissa.",,,,,
